שם נקודה,Y,X,סוג
1240G,127973.680,150325.360,ישנה
457M,122641.590,149064.920,ישנה
425M,130318.580,154954.060,ישנה
1195K,175211.588,653952.042,ישנה
1228,128490.690,151950.434,חדשה
1229,178751.018,653124.697,חדשה
1230,127958.440,153671.483,חדשה
1231,128330.079,153982.734,חדשה
1232,128435.031,153552.822,חדשה
1233,128762.691,154095.976,חדשה
1234,128024.631,152421.104,חדשה
1413Q,128253.300,155005.740,ישנה
1205,178590.514,652891.444,חדשה
1206,128742.060,153137.759,ישנה
1207,129265.057,154124.091,ישנה
1208,129482.402,154454.463,ישנה
1205RL,178590.510,652891.440,ידועה
1229RL,178751.020,653124.700,ידועה
120571,178590.510,652891.440,ידועה
122977,178751.020,653124.700,ידועה
W2,178667.560,652933.930,חדשה
W1,178621.880,652831.420,חדשה
W3,178690.850,652867.920,חדשה
W4,178706.780,652800.560,חדשה
WF2220,178340.270,653379.230,חדשה
10,178599.010,652844.110,חדשה
11,178611.850,652870.420,חדשה
12,178639.020,652909.510,חדשה
13,178636.580,652910.750,חדשה
14,178664.470,652951.020,חדשה
15,178667.580,652956.130,חדשה
16,178665.240,652957.540,חדשה
17,178673.570,652945.400,חדשה
22,178682.220,652945.730,חדשה
23,178688.880,652945.010,חדשה
24,178679.660,652941.250,חדשה
25,178679.390,652940.620,חדשה
26,178675.340,652939.760,חדשה
27,178674.820,652940.180,חדשה
28,178674.030,652943.860,חדשה
34,178660.450,652940.850,חדשה
56,178602.220,652845.690,חדשה
58,178606.390,652842.910,חדשה
59,178605.860,652841.950,חדשה
62,178610.530,652839.070,חדשה
63,178613.180,652837.350,חדשה
69,178634.230,652869.130,חדשה
71,178643.710,652887.140,חדשה
73,178643.520,652891.750,חדשה
74,178642.390,652891.190,חדשה
76,178644.780,652894.220,חדשה
77,178645.020,652895.480,חדשה
78,178648.560,652896.030,חדשה
84,178661.450,652912.190,חדשה
86,178657.170,652915.000,חדשה
12297,178751.020,653124.700,חדשה
12057,178590.510,652891.440,חדשה
120577,178590.500,652891.450,ידועה
87,178665.500,652928.510,חדשה
88,178670.440,652931.200,חדשה
89,178674.590,652927.310,חדשה
90,178670.970,652926.110,חדשה
91,178670.760,652926.350,חדשה
92,178669.250,652926.260,חדשה
93,178668.840,652926.040,חדשה
94,178666.610,652922.510,חדשה
95,178670.800,652919.900,חדשה
96,178666.960,652913.440,חדשה
97,178659.080,652918.180,חדשה
99,178661.530,652915.930,חדשה
103,178672.430,652905.660,חדשה
104,178674.280,652908.110,חדשה
105,178674.460,652909.200,חדשה
107,178681.690,652895.720,חדשה
110,178687.670,652897.010,חדשה
111,178691.420,652898.190,חדשה
112,178687.600,652901.460,חדשה
114,178688.360,652906.560,חדשה
116,178687.390,652914.790,חדשה
117,178683.800,652918.920,חדשה
118,178682.880,652919.390,חדשה
120,178684.930,652930.260,חדשה
122,178680.860,652929.850,חדשה
125,178684.020,652935.480,חדשה
128,178674.470,652894.280,חדשה
132,178665.430,652882.610,חדשה
137,178662.690,652878.140,חדשה
