שם נקודה,Y,X,סוג
142,178656.050,652865.040,חדשה
146,178657.670,652857.690,חדשה
150,178669.350,652848.690,חדשה
158,178679.880,652842.650,חדשה
159,178684.980,652835.990,חדשה
162,178691.630,652836.040,חדשה
164,178679.060,652887.410,חדשה
168,178693.560,652890.610,חדשה
169,178689.590,652888.460,חדשה
171,178696.050,652887.270,חדשה
180,178673.340,652872.070,חדשה
191,178685.260,652851.500,חדשה
194,178691.900,652848.140,חדשה
196,178697.850,652849.310,חדשה
197,178704.960,652853.460,חדשה
198,178705.660,652851.080,חדשה
199,178698.060,652848.000,חדשה
200,178702.340,652848.900,חדשה
201,178703.970,652844.560,חדשה
203,178699.680,652840.650,חדשה
204,178701.550,652835.890,חדשה
205,178704.770,652836.230,חדשה
206,178704.590,652831.610,חדשה
208,178705.770,652817.220,חדשה
210,178706.030,652814.670,חדשה
211,178707.960,652813.230,חדשה
213,178687.840,652845.690,חדשה
214,178692.200,652846.680,חדשה
215,178701.140,652863.610,חדשה
218,178692.100,652857.280,חדשה
223,178679.460,652867.400,חדשה
227,178686.990,652878.330,חדשה
230,178699.290,652876.750,חדשה
231,178713.850,652803.110,חדשה
232,178703.510,652800.810,חדשה
233,178702.640,652804.760,חדשה
234,178700.310,652806.090,חדשה
235,178697.740,652805.310,חדשה
236,178695.780,652802.320,חדשה
237,178695.240,652799.250,חדשה
238,178696.220,652796.950,חדשה
239,178698.300,652795.320,חדשה
240,178700.660,652798.870,חדשה
241,178705.010,652794.860,חדשה
242,178705.010,652791.690,חדשה
246,178714.990,652795.730,חדשה
247,178710.640,652812.700,חדשה
248,178711.010,652818.080,חדשה
249,178707.460,652817.350,חדשה
250,178707.180,652823.510,חדשה
253,178695.930,652829.660,חדשה
257,178691.670,652825.990,חדשה
261,178682.860,652817.410,חדשה
263,178694.000,652818.980,חדשה
264,178698.260,652819.840,חדשה
265,178697.140,652816.070,חדשה
266,178698.180,652817.730,חדשה
267,178689.510,652820.770,חדשה
268,178686.810,652816.510,חדשה
269,178694.260,652811.860,חדשה
270,178693.810,652811.030,חדשה
271,178683.650,652811.570,חדשה
272,178691.400,652806.670,חדשה
273,178682.710,652811.910,חדשה
274,178689.910,652804.280,חדשה
275,178686.690,652807.660,חדשה
276,178687.580,652802.860,חדשה
277,178684.440,652804.160,חדשה
278,178704.990,652779.460,חדשה
299,178628.360,652868.410,חדשה
300,178636.160,652863.440,חדשה
301,178640.430,652860.780,חדשה
302,178644.870,652861.960,חדשה
310,178646.130,652855.630,חדשה
313,178639.690,652844.610,חדשה
314,178642.640,652842.740,חדשה
315,178642.050,652855.240,חדשה
316,178633.840,652842.720,חדשה
317,178620.560,652849.530,חדשה
318,178622.110,652858.040,חדשה
319,178625.780,652855.820,חדשה
320,178628.200,652859.730,חדשה
321,178632.400,652857.040,חדשה
326,178656.410,652828.490,חדשה
327,178655.850,652831.680,חדשה
328,178658.090,652828.630,חדשה
331,178660.420,652827.210,חדשה
332,178661.000,652825.590,חדשה
333,178656.640,652826.680,חדשה
334,178654.370,652823.090,חדשה
335,178656.970,652821.450,חדשה
336,178659.260,652825.020,חדשה
337,178664.840,652826.900,חדשה
342,178705.100,652777.060,חדשה
344,178669.490,652799.460,חדשה
346,178632.590,652822.890,חדשה
199G,178664.740,652951.040,חדשה
200G,178610.880,652863.210,חדשה
203G,178598.960,652844.080,חדשה
2027G,178605.170,652853.900,חדשה
1G,178621.960,652856.410,חדשה
2G,178609.950,652837.130,חדשה
201G,178625.310,652854.370,חדשה
204G,178684.660,652789.950,חדשה
196G,178686.100,652887.490,חדשה
197C,178673.710,652945.500,חדשה
198G,178686.348,652887.556,חדשה
202G,178670.820,652864.200,חדשה
205G,178701.730,652816.970,חדשה
206G,178694.830,652848.460,חדשה
197G,178673.717,652945.541,חדשה
