שם נקודה,Y,X,סוג
1H,800.000,500.000,ידועה
2H,567.420,499.960,חדשה
3H,563.760,552.650,חדשה
4H,559.230,612.200,חדשה
5H,651.450,617.910,חדשה
6H,659.560,594.650,חדשה
7H,686.740,607.220,חדשה
8H,747.030,609.830,חדשה
9H,779.860,611.540,חדשה
10H,796.750,608.950,חדשה
8,791.740,525.050,חדשה
7,790.210,615.850,חדשה
1,573.620,518.000,חדשה
2,565.040,605.760,חדשה
10,618.160,608.120,חדשה
11,643.130,609.260,חדשה
12,671.110,610.570,חדשה
13,699.090,611.790,חדשה
14,704.080,611.940,חדשה
15,732.060,613.240,חדשה
16,760.340,614.570,חדשה
50,786.110,615.650,חדשה
54,588.710,518.480,חדשה
55,604.710,519.000,חדשה
17,644.420,520.290,חדשה
19,672.710,521.470,חדשה
20,700.700,522.060,חדשה
21,728.690,523.010,חדשה
22,756.680,523.850,חדשה
18,761.680,524.080,חדשה
51,787.470,524.890,חדשה
23,644.180,536.780,חדשה
63,644.040,546.450,חדשה
56,644.020,547.770,חדשה
62,643.720,568.260,חדשה
57,643.530,581.760,חדשה
24,643.370,592.760,חדשה
25,760.580,597.970,חדשה
26,760.630,595.010,חדשה
58,760.750,586.390,חדשה
27,760.920,575.540,חדשה
28,761.260,552.530,חדשה
59,761.270,551.540,חדשה
33,786.410,595.400,חדשה
32,786.710,575.900,חדשה
31,787.040,553.330,חדשה
30,787.220,541.330,חדשה
4,671.850,594.040,חדשה
42,699.830,595.290,חדשה
43,704.820,595.510,חדשה
44,732.800,596.770,חדשה
36,700.170,538.580,חדשה
37,728.150,539.490,חדשה
39,756.140,540.390,חדשה
64,608.890,545.690,חדשה
48,654.520,582.240,חדשה
66,669.660,582.920,חדשה
67,682.650,583.500,חדשה
68,695.640,584.090,חדשה
69,708.640,584.660,חדשה
70,721.630,585.240,חדשה
71,734.620,585.820,חדשה
46,749.420,586.500,חדשה
49,655.020,548.120,חדשה
72,670.160,548.610,חדשה
73,683.150,549.020,חדשה
74,696.150,549.440,חדשה
75,709.140,549.860,חדשה
76,722.140,550.280,חדשה
77,735.130,550.690,חדשה
47,750.270,551.180,חדשה
53,604.430,538.550,חדשה
60,588.730,541.630,חדשה
52,618.270,568.010,חדשה
61,602.700,571.670,חדשה
84,618.750,579.260,חדשה
86,608.860,547.960,חדשה
87,604.580,528.150,חדשה
82,617.060,568.280,חדשה
65,616.770,567.430,חדשה
83,605.580,538.300,חדשה
41,671.850,594.040,חדשה
35,672.180,537.600,חדשה
9,602.170,607.420,חדשה
85,613.490,557.830,חדשה
165,616.770,569.430,חדשה
